loan_amnt,title,dti,emp_length,approved
18000,Home improvement,8.14,9+ years,Yes
22000,Credit card refinancing,23.61,9+ years,Yes
5000,Credit card refinancing,7,2 years,Yes
2400,Debt consolidation,7.78,9+ years,Yes
10000,Debt consolidation,19.95,1 year,Yes
6600,Debt consolidation,26.84,9+ years,Yes
8000,Debt consolidation,11.9,9+ years,Yes
33875,Debt consolidation,16.71,9+ years,Yes
20000,Debt consolidation,22.15,5 years,Yes
6000,Debt consolidation,9.33,6 years,Yes
15000,Debt consolidation,26.1,1 year,Yes
4800,Debt consolidation,12.31,5 years,Yes
8525,Debt consolidation,31.17,9+ years,Yes
5000,Debt consolidation,13.18,< 1 year,Yes
40000,Debt consolidation,14.2,9+ years,Yes
12700,Debt consolidation,22.3,9+ years,Yes
20000,Credit card refinancing,14.77,1 year,Yes
5000,Major purchase,7.64,9+ years,Yes
8000,Credit card refinancing,20.98,9+ years,Yes
4800,Other,11.45,1 year,Yes
35000,Debt consolidation,7.6,9+ years,Yes
7000,Debt consolidation,21.38,9+ years,Yes
11200,Debt consolidation,3.46,3 years,Yes
8100,Home improvement,12.42,4 years,Yes
35000,Debt consolidation,24.02,2 years,Yes
30000,Home improvement,0,9+ years,Yes
17000,Debt consolidation,30.62,3 years,Yes
20000,Debt consolidation,20.14,6 years,Yes
10000,Debt consolidation,32.15,2 years,Yes
25000,Debt consolidation,8.57,< 1 year,Yes
15000,Debt consolidation,25.72,7 years,Yes
7000,Credit card refinancing,11.39,2 years,Yes
35000,Debt consolidation,16.36,9+ years,Yes
23000,Debt consolidation,10.08,5 years,Yes
10000,Other,35.86,1 year,Yes
35000,Debt consolidation,23.08,2 years,Yes
3000,Credit card refinancing,6.36,4 years,Yes
15000,Debt consolidation,9.31,9+ years,Yes
4000,Credit card refinancing,4.8,9+ years,Yes
10000,Credit card refinancing,7.06,3 years,Yes
3000,Credit card refinancing,22.73,5 years,Yes
5325,Debt consolidation,29.97,4 years,Yes
35000,Debt consolidation,6.92,6 years,Yes
16500,Debt consolidation,9.57,9+ years,Yes
16000,Debt consolidation,29.74,9+ years,Yes
3000,Major purchase,18.39,9+ years,Yes
20000,Credit card refinancing,29.75,9+ years,Yes
10000,Credit card refinancing,23.29,5 years,Yes
11500,Credit card refinancing,17.73,4 years,Yes
25000,Debt consolidation,3.38,< 1 year,Yes
7200,Debt consolidation,24.6,9+ years,Yes
30000,Debt consolidation,22.59,9+ years,Yes
25000,Debt consolidation,34.36,5 years,Yes
1000,Other,24.15,9+ years,Yes
6000,Debt consolidation,7.33,2 years,Yes
7000,Debt consolidation,10.4,2 years,Yes
10000,Debt consolidation,24.69,9+ years,Yes
17000,Credit card refinancing,14.97,4 years,Yes
30000,Credit card refinancing,15.96,4 years,Yes
12000,Credit card refinancing,22.08,8 years,Yes
10000,Debt consolidation,18.32,9+ years,Yes
6000,Debt consolidation,10.32,5 years,Yes
5300,Debt consolidation,8.96,9+ years,Yes
6400,Debt consolidation,24.17,5 years,Yes
5000,Debt consolidation,17.71,9+ years,Yes
25000,Credit card refinancing,15.02,8 years,Yes
20000,Debt consolidation,34.17,3 years,Yes
11200,Credit card refinancing,8.58,6 years,Yes
24000,Major purchase,8.58,2 years,Yes
10000,Debt consolidation,31.61,7 years,Yes
10000,Credit card refinancing,25.11,< 1 year,Yes
9000,Debt consolidation,14.29,7 years,Yes
11000,Debt consolidation,13.53,8 years,Yes
10000,Credit card refinancing,25.26,7 years,Yes
15000,Credit card refinancing,21.21,9+ years,Yes
3000,Credit card refinancing,15.56,2 years,Yes
4500,Debt consolidation,15.17,5 years,Yes
8000,Debt consolidation,11.03,9+ years,Yes
10000,Debt consolidation,10.08,2 years,Yes
35000,Credit card refinancing,24.28,4 years,Yes
12000,Debt consolidation,18.14,8 years,Yes
9500,Debt consolidation,6.91,9+ years,Yes
5000,Medical expenses,37.4,3 years,Yes
3025,Debt consolidation,7.14,4 years,Yes
35000,Credit card refinancing,20.13,5 years,Yes
40000,Home improvement,16.62,< 1 year,Yes
40000,Debt consolidation,25.75,9+ years,Yes
25000,Debt consolidation,30.32,1 year,Yes
8000,Debt consolidation,18.39,6 years,Yes
20000,Credit card refinancing,22.61,3 years,Yes
8700,Home improvement,12.48,9+ years,Yes
15000,Debt consolidation,18.05,< 1 year,Yes
5000,Credit card refinancing,4.98,7 years,Yes
23100,Credit card refinancing,17.08,7 years,Yes
13000,Debt consolidation,19.04,9+ years,Yes
30000,Debt consolidation,6.19,5 years,Yes
10000,Debt consolidation,25.08,9+ years,Yes
6000,Credit card refinancing,23.47,5 years,Yes
12000,Debt consolidation,27.54,9+ years,Yes
10000,Debt consolidation,17.92,5 years,Yes
33000,Debt consolidation,8.62,9+ years,Yes
15000,Debt consolidation,27.63,9+ years,Yes
6000,Debt consolidation,25.77,9+ years,Yes
40000,Debt consolidation,27.46,4 years,Yes
8000,Credit card refinancing,10.16,5 years,Yes
7000,Credit card refinancing,29.26,3 years,Yes
5000,Credit card refinancing,10.04,4 years,Yes
13000,Credit card refinancing,26.73,< 1 year,Yes
10000,Debt consolidation,15.25,9+ years,Yes
10000,Medical expenses,18.55,6 years,Yes
35000,Debt consolidation,11.12,< 1 year,Yes
30000,Debt consolidation,22.88,5 years,Yes
6025,Debt consolidation,14.01,6 years,Yes
20000,Debt consolidation,16.96,3 years,Yes
7500,Debt consolidation,12.48,2 years,Yes
15000,Debt consolidation,6.14,9+ years,Yes
40000,Debt consolidation,8.41,9+ years,Yes
25000,Debt consolidation,24.57,5 years,Yes
20000,Debt consolidation,16.98,1 year,Yes
30000,Debt consolidation,12.89,2 years,Yes
13000,Credit card refinancing,23.62,8 years,Yes
8000,Debt consolidation,22.05,2 years,Yes
4000,Debt consolidation,9.3,< 1 year,Yes
20000,Debt consolidation,10.13,9+ years,Yes
5000,Credit card refinancing,1.8,2 years,Yes
25000,Debt consolidation,25.12,9+ years,Yes
15000,Debt consolidation,29.06,9+ years,Yes
10500,Debt consolidation,16.42,5 years,Yes
3500,Credit card refinancing,19.71,9+ years,Yes
28000,Debt consolidation,32.8,9+ years,Yes
12000,Debt consolidation,30.9,9+ years,Yes
6400,Debt consolidation,24.98,6 years,Yes
5000,Credit card refinancing,3.65,3 years,Yes
25000,Debt consolidation,22.22,7 years,Yes
20000,Debt consolidation,14.52,1 year,Yes
40000,Credit card refinancing,10.43,1 year,Yes
20000,Credit card refinancing,19.27,4 years,Yes
2500,Other,34.75,1 year,Yes
21000,Debt consolidation,27.97,9+ years,Yes
32000,Credit card refinancing,4.15,3 years,Yes
11000,Debt consolidation,19.03,< 1 year,Yes
5000,Credit card refinancing,15.54,1 year,Yes
20000,Debt consolidation,15.05,3 years,Yes
5000,Home improvement,18.34,5 years,Yes
9600,Debt consolidation,19.5,9+ years,Yes
25000,Debt consolidation,13.57,8 years,Yes
25000,Debt consolidation,18.67,8 years,Yes
7000,Credit card refinancing,34.29,8 years,Yes
20000,Debt consolidation,8.35,9+ years,Yes
35000,Credit card refinancing,12.52,< 1 year,Yes
18000,Credit card refinancing,21.82,5 years,Yes
20800,Credit card refinancing,19.71,9+ years,Yes
15000,Debt consolidation,4.34,5 years,Yes
8000,Credit card refinancing,27.01,1 year,Yes
25000,Debt consolidation,31.39,9+ years,Yes
35000,Debt consolidation,15.53,3 years,Yes
25000,Debt consolidation,26.08,1 year,Yes
12000,Credit card refinancing,13.78,3 years,Yes
6000,Other,20.05,8 years,Yes
25000,Debt consolidation,15.62,< 1 year,Yes
11000,Debt consolidation,23.83,9+ years,Yes
13000,Debt consolidation,18.42,7 years,Yes
16000,Credit card refinancing,16.48,9+ years,Yes
8000,Home improvement,18.39,9+ years,Yes
25750,Credit card refinancing,33.69,9+ years,Yes
10000,Debt consolidation,18.5,5 years,Yes
8000,Debt consolidation,27.97,7 years,Yes
15000,Debt consolidation,10.7,9+ years,Yes
40000,Debt consolidation,11.31,2 years,Yes
12500,Debt consolidation,17.52,3 years,Yes
20000,Other,15.73,9+ years,Yes
19200,Debt consolidation,8.48,< 1 year,Yes
12000,Debt consolidation,9.57,9+ years,Yes
6025,Debt consolidation,9.31,5 years,Yes
21600,Home improvement,13.38,5 years,Yes
30000,Credit card refinancing,28.75,2 years,Yes
27000,Credit card refinancing,21.76,2 years,Yes
35000,Debt consolidation,15.55,< 1 year,Yes
20000,Debt consolidation,27.74,3 years,Yes
10000,Debt consolidation,15.38,7 years,Yes
31200,Debt consolidation,26.89,9+ years,Yes
7600,Debt consolidation,20.6,5 years,Yes
34000,Credit card refinancing,19.95,9+ years,Yes
11000,Debt consolidation,15.88,7 years,Yes
5000,Debt consolidation,4.56,1 year,Yes
21000,Debt consolidation,31.45,2 years,Yes
16000,Debt consolidation,8.84,4 years,Yes
10000,Credit card refinancing,25.69,9+ years,Yes
10000,Debt consolidation,18.24,9+ years,Yes
3000,Credit card refinancing,34.86,2 years,Yes
3000,Vacation,18.01,2 years,Yes
7000,Debt consolidation,17.75,4 years,Yes
31550,Debt consolidation,13.69,6 years,Yes
13500,Credit card refinancing,31.41,< 1 year,Yes
16000,Debt consolidation,37.57,5 years,Yes
10000,Debt consolidation,11.55,9+ years,Yes
18000,Debt consolidation,21.62,< 1 year,Yes
35000,Debt consolidation,22.43,< 1 year,Yes
30000,Credit card refinancing,13.29,9+ years,Yes
6000,Credit card refinancing,10.4,9+ years,Yes
5500,Debt consolidation,23.35,3 years,Yes
25000,Credit card refinancing,22.67,< 1 year,Yes
7000,Debt consolidation,21.39,5 years,Yes
12000,Debt consolidation,27.39,8 years,Yes
25000,Credit card refinancing,18.92,< 1 year,Yes
14000,Credit card refinancing,32.15,9+ years,Yes
8000,Debt consolidation,7.09,2 years,Yes
35000,Debt consolidation,14.74,8 years,Yes
13500,Credit card refinancing,28.76,9+ years,Yes
6500,Business,13.36,< 1 year,Yes
3500,Home improvement,32.59,9+ years,Yes
10000,Debt consolidation,9.37,4 years,Yes
1000,Credit card refinancing,6.82,1 year,Yes
15400,Debt consolidation,23.95,1 year,Yes
4000,Car financing,2.89,9+ years,Yes
5000,Credit card refinancing,23.44,< 1 year,Yes
7200,Credit card refinancing,14.67,9+ years,Yes
30000,Credit card refinancing,12.14,3 years,Yes
35000,Debt consolidation,9.91,6 years,Yes
19700,Debt consolidation,4.91,5 years,Yes
25000,Debt consolidation,10.85,1 year,Yes
15000,Debt consolidation,7.65,< 1 year,Yes
35000,Debt consolidation,31.85,9+ years,Yes
15000,Debt consolidation,8.53,6 years,Yes
25000,Credit card refinancing,18.21,3 years,Yes
10000,Credit card refinancing,13.2,3 years,Yes
15000,Debt consolidation,21,8 years,Yes
26050,Credit card refinancing,23.33,2 years,Yes
22500,Credit card refinancing,29.74,4 years,Yes
40000,Debt consolidation,18.97,5 years,Yes
25000,Credit card refinancing,16.8,9+ years,Yes
8000,Credit card refinancing,22.97,2 years,Yes
10600,Debt consolidation,34.64,5 years,Yes
25000,Debt consolidation,17.46,3 years,Yes
9600,Debt consolidation,28.02,5 years,Yes
5000,Business,1.44,< 1 year,Yes
10000,Credit card refinancing,7.89,3 years,Yes
4000,Home improvement,9.64,5 years,Yes
16000,Debt consolidation,28.13,9+ years,Yes
25000,Debt consolidation,13.6,9+ years,Yes
25000,Home improvement,13.34,5 years,Yes
7200,Credit card refinancing,28.25,7 years,Yes
11000,Debt consolidation,14.3,< 1 year,Yes
5500,Credit card refinancing,13.06,2 years,Yes
35000,Credit card refinancing,22.35,4 years,Yes
20000,Credit card refinancing,8.74,9+ years,Yes
24725,Credit card refinancing,14.87,9+ years,Yes
25000,Credit card refinancing,10.66,< 1 year,Yes
8000,Debt consolidation,5.28,5 years,Yes
25000,Debt consolidation,18.06,3 years,Yes
15000,Debt consolidation,16.27,9+ years,Yes
10000,Debt consolidation,12.55,9+ years,Yes
10000,Debt consolidation,7.43,1 year,Yes
35000,Credit card refinancing,15.41,7 years,Yes
35000,Credit card refinancing,25.2,9+ years,Yes
13600,Debt consolidation,28.15,< 1 year,Yes
6600,Credit card refinancing,10.88,1 year,Yes
7200,Other,22.58,9+ years,Yes
9000,Debt consolidation,17.47,9+ years,Yes
15000,Debt consolidation,16.8,5 years,Yes
18000,Debt consolidation,21.7,< 1 year,Yes
6000,Debt consolidation,29.06,4 years,Yes
15000,Credit card refinancing,24.07,9+ years,Yes
15000,Debt consolidation,11.69,< 1 year,Yes
30000,Home improvement,14.21,< 1 year,Yes
14000,Credit card refinancing,24.84,9+ years,Yes
30000,Debt consolidation,19.63,9+ years,Yes
1200,Debt consolidation,16.28,< 1 year,Yes
35000,Debt consolidation,28.53,3 years,Yes
15000,Credit card refinancing,13.68,2 years,Yes
10000,Debt consolidation,29.24,1 year,Yes
10000,Debt consolidation,16.59,9+ years,Yes
10000,Debt consolidation,12.24,2 years,Yes
25000,Major purchase,24.4,6 years,Yes
9600,Debt consolidation,34.82,2 years,Yes
17000,Debt consolidation,18.97,5 years,Yes
5500,Credit card refinancing,34.33,9+ years,Yes
16000,Credit card refinancing,36.84,< 1 year,Yes
11500,Credit card refinancing,9.48,3 years,Yes
7000,Debt consolidation,14.14,9+ years,Yes
9800,Debt consolidation,32.6,6 years,Yes
26000,Credit card refinancing,20.99,9+ years,Yes
25000,Credit card refinancing,32.77,3 years,Yes
15000,Debt consolidation,8.76,3 years,Yes
12000,Debt consolidation,7.08,9+ years,Yes
6000,Car financing,15.49,7 years,Yes
6000,Debt consolidation,21.36,2 years,Yes
6400,Major purchase,17.04,5 years,Yes
13500,Credit card refinancing,10.39,9+ years,Yes
4800,Debt consolidation,13.63,9+ years,Yes
14500,Other,18.95,< 1 year,Yes
10000,Other,14.71,9+ years,Yes
25000,Car financing,31.67,7 years,Yes
12000,Credit card refinancing,12.88,< 1 year,Yes
16000,Debt consolidation,29.73,9+ years,Yes
10000,Credit card refinancing,5.21,1 year,Yes
16000,Debt consolidation,18.26,9+ years,Yes
9000,Debt consolidation,21.19,7 years,Yes
23800,Credit card refinancing,24.03,9+ years,Yes
5000,Debt consolidation,23.04,4 years,Yes
20000,Credit card refinancing,12.94,< 1 year,Yes
3400,Credit card refinancing,18.4,9+ years,Yes
40000,Debt consolidation,9.04,< 1 year,Yes
20000,Debt consolidation,23.04,9+ years,Yes
10000,Credit card refinancing,10.38,9+ years,Yes
10000,Debt consolidation,15.51,5 years,Yes
3000,Other,22.1,3 years,Yes
10000,Debt consolidation,11.14,1 year,Yes
15075,Debt consolidation,20.79,1 year,Yes
10000,Home improvement,19.77,9+ years,Yes
10000,Debt consolidation,4.9,1 year,Yes
6000,Credit card refinancing,6.16,6 years,Yes
17000,Credit card refinancing,25.83,< 1 year,Yes
12000,Credit card refinancing,35.91,3 years,Yes
20000,Debt consolidation,11.9,< 1 year,Yes
24000,Debt consolidation,7.45,7 years,Yes
9000,Credit card refinancing,8.39,< 1 year,Yes
5500,Credit card refinancing,14.91,2 years,Yes
35000,Debt consolidation,5.58,< 1 year,Yes
25000,Debt consolidation,20.16,9+ years,Yes
6000,Debt consolidation,3.04,9+ years,Yes
22000,Credit card refinancing,5.24,3 years,Yes
15000,Debt consolidation,25.75,2 years,Yes
15000,Debt consolidation,18.42,5 years,Yes
10000,Credit card refinancing,32.26,2 years,Yes
5000,Debt consolidation,21.01,4 years,Yes
12000,Credit card refinancing,12.55,9+ years,Yes
4000,Other,9.29,1 year,Yes
4500,Debt consolidation,23.88,3 years,Yes
12000,Debt consolidation,8.88,4 years,Yes
10000,Credit card refinancing,35.05,< 1 year,Yes
3500,Credit card refinancing,3.12,1 year,Yes
30000,Credit card refinancing,13.08,< 1 year,Yes
8000,Debt consolidation,14.86,< 1 year,Yes
19200,Credit card refinancing,28.57,1 year,Yes
8000,Credit card refinancing,37.57,< 1 year,Yes
15000,Other,7.49,< 1 year,Yes
20000,Debt consolidation,33.25,6 years,Yes
3000,Debt consolidation,9.17,9+ years,Yes
12000,Debt consolidation,19.92,9+ years,Yes
2000,Debt consolidation,4.48,2 years,Yes
16000,Debt consolidation,13.9,9+ years,Yes
10000,Credit card refinancing,7.96,5 years,Yes
3500,Debt consolidation,28.86,9+ years,Yes
13000,Home improvement,8.22,9+ years,Yes
2500,Debt consolidation,3.09,9+ years,Yes
15000,Credit card refinancing,20.86,6 years,Yes
30000,Debt consolidation,20.92,9+ years,Yes
8875,Credit card refinancing,13.06,9+ years,Yes
15000,Credit card refinancing,17.6,8 years,Yes
5000,Debt consolidation,13.5,4 years,Yes
7000,Debt consolidation,30.95,9+ years,Yes
15000,Debt consolidation,10.69,8 years,Yes
36000,Business,9.44,4 years,Yes
20000,Vacation,9.18,3 years,Yes
10000,Debt consolidation,6.12,7 years,Yes
10000,Credit card refinancing,28.67,4 years,Yes
20000,Debt consolidation,19.15,< 1 year,Yes
19000,Debt consolidation,8.77,< 1 year,Yes
40000,Debt consolidation,16.35,< 1 year,Yes
14400,Debt consolidation,18.27,1 year,Yes
10000,Debt consolidation,26.72,9+ years,Yes
20000,Debt consolidation,13.6,1 year,Yes
40000,Other,11.54,< 1 year,Yes
3600,Other,24.29,6 years,Yes
20000,Debt consolidation,7.91,8 years,Yes
5000,Credit card refinancing,21.52,2 years,Yes
20000,Debt consolidation,17.96,9+ years,Yes
10000,Debt consolidation,6.18,< 1 year,Yes
30000,Medical expenses,11.72,9+ years,Yes
6000,Debt consolidation,3.77,1 year,Yes
25000,Debt consolidation,19.51,9+ years,Yes
20000,Major purchase,14.19,< 1 year,Yes
20000,Debt consolidation,22.83,6 years,Yes
15000,Credit card refinancing,13.05,9+ years,Yes
30000,Home buying,6.74,9+ years,Yes
25500,Debt consolidation,3.39,9+ years,Yes
4800,Medical expenses,26.3,9+ years,Yes
14000,Credit card refinancing,12.12,5 years,Yes
26375,Credit card refinancing,29.51,< 1 year,Yes
18000,Debt consolidation,19.79,9+ years,Yes
30000,Home improvement,11.1,1 year,Yes
7500,Debt consolidation,28.35,< 1 year,Yes
38925,Other,14.16,9+ years,Yes
5700,Credit card refinancing,25.98,3 years,Yes
20000,Debt consolidation,33.08,< 1 year,Yes
5000,Business,0.11,2 years,Yes
10000,Credit card refinancing,23.02,9+ years,Yes
12000,Credit card refinancing,20.04,1 year,Yes
8000,Debt consolidation,5.9,< 1 year,Yes
10000,Credit card refinancing,12.74,4 years,Yes
7000,Debt consolidation,28.31,4 years,Yes
40000,Debt consolidation,36.33,2 years,Yes
11200,Credit card refinancing,36.49,9+ years,Yes
18000,Credit card refinancing,15.67,9+ years,Yes
5000,Car financing,12.93,9+ years,Yes
35000,Credit card refinancing,23.93,9+ years,Yes
35000,Other,19.7,< 1 year,Yes
12500,Credit card refinancing,20.42,6 years,Yes
18000,Credit card refinancing,19.59,< 1 year,Yes
2000,Car financing,21.24,4 years,Yes
2500,Home buying,23.17,3 years,Yes
15000,Debt consolidation,27.23,8 years,Yes
12800,Debt consolidation,5.76,4 years,Yes
3000,Other,33.75,< 1 year,Yes
10000,Debt consolidation,25.86,9+ years,Yes
22425,Debt consolidation,19.28,6 years,Yes
6000,Credit card refinancing,11.72,1 year,Yes
10850,Credit card refinancing,17.59,9+ years,Yes
12000,Debt consolidation,29.78,9+ years,Yes
17000,Credit card refinancing,26.28,3 years,Yes
7800,Debt consolidation,22.9,9+ years,Yes
13000,Credit card refinancing,21.13,9+ years,Yes
3000,Debt consolidation,25.84,9+ years,Yes
7800,Debt consolidation,12.99,9+ years,Yes
40000,Debt consolidation,7.44,9+ years,Yes
8000,Debt consolidation,36.4,9+ years,Yes
6000,Credit card refinancing,2.98,1 year,Yes
6000,Credit card refinancing,6.96,3 years,Yes
1200,Vacation,15.82,5 years,Yes
15000,Debt consolidation,21.66,1 year,Yes
14400,Credit card refinancing,17.91,9+ years,Yes
10000,Major purchase,12.81,6 years,Yes
12000,Debt consolidation,14.84,9+ years,Yes
5000,Business,30.57,8 years,Yes
8000,Debt consolidation,28.33,6 years,Yes
4000,Credit card refinancing,11.61,9+ years,Yes
9500,Home improvement,16.66,5 years,Yes
5000,Other,9.2,9+ years,Yes
35000,Other,13.12,4 years,Yes
10000,Credit card refinancing,22.8,4 years,Yes
25000,Debt consolidation,15.53,6 years,Yes
13000,Debt consolidation,4.73,< 1 year,Yes
10000,Credit card refinancing,11.12,2 years,Yes
10000,Debt consolidation,13.68,2 years,Yes
6500,Major purchase,15.2,< 1 year,Yes
20000,Debt consolidation,23.73,9+ years,Yes
16000,Business,10.55,< 1 year,Yes
3600,Debt consolidation,18.21,8 years,Yes
20000,Debt consolidation,6.37,< 1 year,Yes
26500,Credit card refinancing,16.22,3 years,Yes
19025,Debt consolidation,9.25,9+ years,Yes
10000,Credit card refinancing,14.71,9+ years,Yes
25000,Credit card refinancing,15.26,9+ years,Yes
3500,Debt consolidation,9.46,9+ years,Yes
10000,Other,27.88,9+ years,Yes
10000,Debt consolidation,13.53,< 1 year,Yes
10000,Medical expenses,29.12,2 years,Yes
24000,Debt consolidation,32.89,9+ years,Yes
5000,Credit card refinancing,18.83,9+ years,Yes
9900,Credit card refinancing,21.29,4 years,Yes
20000,Debt consolidation,22.08,3 years,Yes
15500,Debt consolidation,35.57,9+ years,Yes
7000,Home improvement,30.67,3 years,Yes
40000,Credit card refinancing,22.01,9+ years,Yes
12000,Debt consolidation,19.65,1 year,Yes
5000,Home improvement,0.86,< 1 year,Yes
11000,Debt consolidation,5.35,9+ years,Yes
28000,Debt consolidation,18.86,9+ years,Yes
15000,Debt consolidation,8.93,9+ years,Yes
10000,Debt consolidation,6.93,< 1 year,Yes
4000,Home buying,16.44,6 years,Yes
25000,Credit card refinancing,17.09,3 years,Yes
20000,Debt consolidation,12.94,3 years,Yes
3000,Home improvement,34.41,1 year,Yes
5000,Credit card refinancing,16.73,2 years,Yes
24000,Credit card refinancing,17.32,1 year,Yes
15150,Car financing,26.83,3 years,Yes
9900,Debt consolidation,28.37,< 1 year,Yes
8000,Credit card refinancing,17.34,3 years,Yes
12500,Debt consolidation,4.28,1 year,Yes
4000,Debt consolidation,4.66,1 year,Yes
20000,Credit card refinancing,15.1,< 1 year,Yes
20000,Credit card refinancing,25.9,9+ years,Yes
25000,Debt consolidation,9.43,5 years,Yes
1000,Debt consolidation,24.32,7 years,Yes
10000,Debt consolidation,12.33,9+ years,Yes
2525,Credit card refinancing,35.23,1 year,Yes
2500,Debt consolidation,21.26,9+ years,Yes
11000,Credit card refinancing,9.98,9+ years,Yes
6500,Debt consolidation,8.45,5 years,Yes
20000,Debt consolidation,9.62,5 years,Yes
6000,Debt consolidation,16.76,< 1 year,Yes
15000,Debt consolidation,20.55,9+ years,Yes
6000,Debt consolidation,22.24,9+ years,Yes
10600,Credit card refinancing,32.98,1 year,Yes
10000,Credit card refinancing,23.08,9+ years,Yes
33700,Credit card refinancing,13.11,9+ years,Yes
15000,Debt consolidation,25.7,2 years,Yes
25000,Debt consolidation,38.05,9+ years,Yes
17000,Debt consolidation,18.33,9+ years,Yes
15000,Debt consolidation,14.7,5 years,Yes
30000,Debt consolidation,8.78,5 years,Yes
2500,Other,2.57,3 years,Yes
25150,Debt consolidation,30.68,6 years,Yes
9000,Credit card refinancing,13.54,1 year,Yes
12000,Debt consolidation,12.47,9+ years,Yes
40000,Home buying,0.89,9+ years,Yes
1000,Other,2.61,< 1 year,Yes
9000,Debt consolidation,7.18,9+ years,Yes
10000,Debt consolidation,18.1,3 years,Yes
30000,Debt consolidation,22.93,9+ years,Yes
20000,Credit card refinancing,14.97,3 years,Yes
19200,Credit card refinancing,16.81,1 year,Yes
12500,Debt consolidation,18.75,1 year,Yes
14500,Debt consolidation,29.89,9+ years,Yes
15000,Credit card refinancing,21.06,9+ years,Yes
15000,Home improvement,26.11,2 years,Yes
12000,Debt consolidation,13.04,< 1 year,Yes
24000,Credit card refinancing,6.5,6 years,Yes
16000,Credit card refinancing,23.14,3 years,Yes
2000,Other,20.07,4 years,Yes
10000,Debt consolidation,23.75,1 year,Yes
15000,Debt consolidation,26.2,1 year,Yes
15000,Home improvement,38.28,9+ years,Yes
6000,Debt consolidation,8.64,4 years,Yes
10000,Debt consolidation,23.07,9+ years,Yes
2000,Credit card refinancing,23.82,9+ years,Yes
9000,Credit card refinancing,37.67,5 years,Yes
10000,Debt consolidation,4.98,2 years,Yes
10000,Home improvement,24.3,< 1 year,Yes
25000,Credit card refinancing,8.87,2 years,Yes
11000,Other,27.21,3 years,Yes
9600,Debt consolidation,19.03,< 1 year,Yes
12000,Medical expenses,11.32,4 years,Yes
3600,Debt consolidation,12.92,9+ years,Yes
5000,Credit card refinancing,21.46,9+ years,Yes
6500,Credit card refinancing,2.49,9+ years,Yes
11200,Debt consolidation,26.37,1 year,Yes
32000,Debt consolidation,9.63,< 1 year,Yes
27500,Credit card refinancing,31.64,9+ years,Yes
40000,Credit card refinancing,12.43,5 years,Yes
25000,Debt consolidation,12.41,2 years,Yes
14000,Credit card refinancing,27.24,1 year,Yes
20000,Debt consolidation,21.99,< 1 year,Yes
10000,Debt consolidation,15.78,6 years,Yes
35000,Debt consolidation,2.08,1 year,Yes
8000,Debt consolidation,21.86,2 years,Yes
15000,Debt consolidation,22.32,9+ years,Yes
35000,Debt consolidation,36.69,5 years,Yes
6500,Debt consolidation,20.16,4 years,Yes
35000,Debt consolidation,7.42,1 year,Yes
26600,Debt consolidation,12.8,1 year,Yes
10000,Moving and relocation,7.05,9+ years,Yes
28500,Credit card refinancing,18.63,5 years,Yes
8000,Debt consolidation,17.61,8 years,Yes
20000,Debt consolidation,22.85,9+ years,Yes
14000,Credit card refinancing,16.41,6 years,Yes
19200,Credit card refinancing,24.65,9+ years,Yes
30000,Debt consolidation,16.13,2 years,Yes
12000,Debt consolidation,7.39,3 years,Yes
3000,Medical expenses,12.18,9+ years,Yes
35000,Debt consolidation,14.95,< 1 year,Yes
12000,Debt consolidation,29.6,< 1 year,Yes
1000,Other,4.69,2 years,Yes
5000,Debt consolidation,27.65,9+ years,Yes
2400,Credit card refinancing,19.57,1 year,Yes
15000,Major purchase,11.11,4 years,Yes
10000,Debt consolidation,15.83,6 years,Yes
40000,Debt consolidation,8.79,9+ years,Yes
40000,Debt consolidation,5.94,5 years,Yes
9600,Credit card refinancing,21.56,4 years,Yes
13000,Debt consolidation,9.84,9+ years,Yes
6275,Debt consolidation,8.27,9+ years,Yes
7000,Home improvement,33.42,5 years,Yes
7500,Other,4.49,9+ years,Yes
20000,Credit card refinancing,9.71,6 years,Yes
16725,Debt consolidation,23.48,7 years,Yes
40000,Credit card refinancing,11.4,2 years,Yes
10000,Credit card refinancing,23.36,2 years,Yes
6000,Major purchase,36.65,9+ years,Yes
27450,Credit card refinancing,22.78,1 year,Yes
13000,Credit card refinancing,21.96,9+ years,Yes
10000,Credit card refinancing,35.91,< 1 year,Yes
27500,Business,4.33,4 years,Yes
18000,Debt consolidation,8.68,9+ years,Yes
11000,Debt consolidation,20.16,9+ years,Yes
26950,Home improvement,7.34,9+ years,Yes
8000,Debt consolidation,22.47,6 years,Yes
16000,Credit card refinancing,23.15,3 years,Yes
13200,Other,12.72,< 1 year,Yes
20000,Vacation,10.9,9+ years,Yes
1500,Debt consolidation,28.35,4 years,Yes
36000,Credit card refinancing,37.94,9+ years,Yes
3600,Debt consolidation,19.28,8 years,Yes
6000,Major purchase,26.04,9+ years,Yes
10000,Debt consolidation,24.48,1 year,Yes
20000,Debt consolidation,13.74,4 years,Yes
31000,Credit card refinancing,17.58,< 1 year,Yes
17500,Debt consolidation,12.78,9+ years,Yes
15000,Credit card refinancing,12.98,2 years,Yes
6000,Home improvement,19.22,9+ years,Yes
15000,Debt consolidation,32.14,4 years,Yes
8000,Debt consolidation,18.39,4 years,Yes
16000,Debt consolidation,15.04,9+ years,Yes
15000,Credit card refinancing,24,2 years,Yes
40000,Credit card refinancing,22.48,4 years,Yes
