loan_amnt,title,dti,emp_length,approved
16000,Debt consolidation,26.57,9+ years,Yes
12800,Debt consolidation,20.66,9+ years,Yes
3500,Credit card refinancing,21.6,7 years,Yes
15000,Debt consolidation,11.49,9+ years,Yes
20000,Credit card refinancing,19.44,3 years,Yes
10000,Credit card refinancing,13.82,9+ years,Yes
5000,Debt consolidation,0.99,9+ years,Yes
20000,Debt consolidation,34.14,5 years,Yes
1000,Other,15.04,2 years,Yes
5500,Other,2.53,4 years,Yes
13000,Debt consolidation,39.36,9+ years,Yes
15000,Debt consolidation,14.03,< 1 year,Yes
25600,Debt consolidation,24.57,9+ years,Yes
9600,Debt consolidation,2.25,9+ years,Yes
22000,Debt consolidation,21.39,3 years,Yes
10000,Debt consolidation,27.92,2 years,Yes
7200,Debt consolidation,13.38,7 years,Yes
16000,Credit card refinancing,6.83,9+ years,Yes
20000,Credit card refinancing,32.85,6 years,Yes
23000,Debt consolidation,12.55,< 1 year,Yes
15000,Debt consolidation,10.47,3 years,Yes
20000,Home improvement,26.27,9+ years,Yes
7000,Debt consolidation,27.69,1 year,Yes
18000,Debt consolidation,13.27,9+ years,Yes
10000,Debt consolidation,29.02,< 1 year,Yes
10000,Credit card refinancing,30.5,9+ years,Yes
40000,Home buying,8.76,4 years,Yes
15000,Other,24.74,4 years,Yes
20000,Credit card refinancing,22.06,3 years,Yes
21000,Home improvement,14.21,6 years,Yes
35000,Debt consolidation,26.32,8 years,Yes
5000,Debt consolidation,14.95,1 year,Yes
5000,Credit card refinancing,16.9,5 years,Yes
5800,Home improvement,27.21,9+ years,Yes
10000,Debt consolidation,16.8,9+ years,Yes
22000,Debt consolidation,18.52,5 years,Yes
5400,Credit card refinancing,37.81,8 years,Yes
26725,Debt consolidation,2.97,2 years,Yes
8000,Credit card refinancing,12.17,5 years,Yes
2000,Home improvement,10.29,9+ years,Yes
32000,Debt consolidation,6.92,1 year,Yes
16000,Credit card refinancing,18.71,9+ years,Yes
20000,Credit card refinancing,9.26,1 year,Yes
15000,Other,18.69,2 years,Yes
10000,Other,6.44,7 years,Yes
14400,Debt consolidation,6.12,< 1 year,Yes
35000,Debt consolidation,10.5,9+ years,Yes
3000,Other,24.79,4 years,Yes
17000,Debt consolidation,22.12,9+ years,Yes
2400,Credit card refinancing,21.28,5 years,Yes
17500,Other,34.9,9+ years,Yes
9000,Debt consolidation,9.84,1 year,Yes
5500,Debt consolidation,14.2,2 years,Yes
4000,Home improvement,24.39,9+ years,Yes
15000,Credit card refinancing,33.45,7 years,Yes
25000,Debt consolidation,17.95,2 years,Yes
27500,Car financing,18.19,2 years,Yes
4500,Credit card refinancing,11.07,< 1 year,Yes
10500,Car financing,16.86,3 years,Yes
35000,Debt consolidation,10.45,6 years,Yes
9600,Credit card refinancing,22.69,1 year,Yes
3000,Other,5.87,9+ years,Yes
12000,Credit card refinancing,30.8,2 years,Yes
20000,Debt consolidation,8.5,3 years,Yes
30000,Debt consolidation,10.99,1 year,Yes
5000,Home improvement,14.97,4 years,Yes
6400,Credit card refinancing,6.49,2 years,Yes
13000,Credit card refinancing,12.28,3 years,Yes
28000,Debt consolidation,13.35,5 years,Yes
4800,Credit card refinancing,2.98,4 years,Yes
9000,Credit card refinancing,22.43,2 years,Yes
15000,Credit card refinancing,4.18,4 years,Yes
9700,Debt consolidation,14.44,3 years,Yes
6000,Debt consolidation,9.05,< 1 year,Yes
25000,Debt consolidation,19.29,< 1 year,Yes
12000,Major purchase,20.81,9+ years,Yes
11000,Debt consolidation,19.13,9+ years,Yes
9600,Credit card refinancing,28.52,3 years,Yes
16000,Debt consolidation,34.42,1 year,Yes
10500,Debt consolidation,13.45,1 year,Yes
32000,Debt consolidation,17.94,7 years,Yes
9000,Debt consolidation,17.19,3 years,Yes
6000,Debt consolidation,10.92,3 years,Yes
12000,Credit card refinancing,13.97,4 years,Yes
15000,Debt consolidation,26.06,5 years,Yes
30000,Debt consolidation,15.16,3 years,Yes
30000,Credit card refinancing,24.05,< 1 year,Yes
35000,Debt consolidation,21.86,< 1 year,Yes
20000,Debt consolidation,20.25,4 years,Yes
14000,Debt consolidation,23.12,< 1 year,Yes
2500,Home improvement,23.01,4 years,Yes
7800,Debt consolidation,8.31,9+ years,Yes
16000,Debt consolidation,15.77,8 years,Yes
40000,Home improvement,8.86,9+ years,Yes
30000,Home improvement,9.82,9+ years,Yes
22000,Credit card refinancing,29.45,9+ years,Yes
26250,Credit card refinancing,22.85,9+ years,Yes
6000,Medical expenses,22.99,< 1 year,Yes
10000,Credit card refinancing,11.15,9+ years,Yes
10000,Debt consolidation,28.72,< 1 year,Yes
9650,Debt consolidation,32.21,5 years,Yes
11075,Debt consolidation,28.02,9+ years,Yes
12000,Credit card refinancing,22.96,< 1 year,Yes
4800,Debt consolidation,13.76,< 1 year,Yes
15000,Debt consolidation,20.26,4 years,Yes
15000,Debt consolidation,33.52,9+ years,Yes
12000,Credit card refinancing,21.67,9+ years,Yes
11000,Credit card refinancing,23.47,< 1 year,Yes
2500,Credit card refinancing,3.27,9+ years,Yes
26400,Debt consolidation,6,9+ years,Yes
20000,Credit card refinancing,27.25,< 1 year,Yes
7200,Major purchase,10.99,6 years,Yes
35000,Debt consolidation,16.06,< 1 year,Yes
18000,Debt consolidation,18.32,5 years,Yes
15000,Debt consolidation,16.14,9+ years,Yes
15000,Credit card refinancing,16.68,6 years,Yes
32000,Debt consolidation,24.6,6 years,Yes
9600,Credit card refinancing,26.69,9+ years,Yes
20000,Home improvement,34.44,9+ years,Yes
25000,Debt consolidation,30.21,9+ years,Yes
6000,Debt consolidation,19.2,< 1 year,Yes
